smiles,D_smiles,A_smiles,D_HOMO,D_LUMO,A_HOMO,A_LUMO,D_A_H,D_A_L,initial,ground,change,overlap,distance,3d_overlap,3d_distance,3d_HOMO(a.u.),3d_LUMO(a.u.),3d_HOMO,3d_LUMO,HOMO,LUMO,AIE
N#C/C(C1=CC=C(Cl)C=C1)=C\C(C=C2)=CC=C2N3C4=CC=CC=C4C5=C3C=CC=C5,C12=CC=CC=C1C3=C(C=CC=C3)N2,N#CC(C1=CC=C(C=C1)Cl)=C,-5.458878152,-0.663958062,-6.728017661,-2.044392181,1.269139509,1.380434119,482,487,5,0.470909012,5.48276,0.707605881,2.706887,-0.203103,-0.087237,-5.526716974,-2.373840902,-5.532893962,-2.384453348,1
N#C/C(C1=CC=CC(Br)=C1)=C\C(C=C2)=CC=C2N3C4=CC=CC=C4C5=C3C=CC=C5,C12=CC=CC=C1C3=C(C=CC=C3)N2,N#CC(C1=CC=CC(Br)=C1)=C,-5.458878152,-0.663958062,-6.785161593,-2.061263247,1.326283441,1.397305185,490,497,7,0.459669329,5.570671,0.691402735,3.060911,-0.204598,-0.087979,-5.567398017,-2.394031761,-5.541356707,-2.389024863,1
N#C/C(C1=CC=C(Br)C=C1)=C\C(C=C2)=CC=C2N3C4=CC=CC=C4C5=C3C=CC=C5,C12=CC=CC=C1C3=C(C=CC=C3)N2,N#CC(C1=CC=C(C=C1)Br)=C,-5.458878152,-0.663958062,-6.654819006,-2.047385435,1.195940854,1.383427373,466,482,16,0.473292142,5.461707,0.707799387,2.63473,-0.203189,-0.087629,-5.529057155,-2.384507771,-5.530662627,-2.386222089,1
N#C/C(C1=CC=C(C=C1)N2C3=CC=CC=C3SC4=CC=CC=C24)=C(C5=CC=CC=C5)/C6=CC=CC=C6,C12=C(C=CC=C2)SC3=C(C=CC=C3)N1,N#C/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)\C3=CC=CC=C3,-4.68090434,-0.454702427,-6.356037878,-1.896362187,1.675133538,1.44165976,514,568,54,0.076816266,7.568595,0.49958909,5.836928,-0.172764,-0.089216,-4.70115031,-2.427692262,-4.990025798,-2.120856204,1
[H]/C(C(C=C1)=CC=C1C(C=C2)=CC=C2/C(C#N)=C(C3=CC=CC=C3)\C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6,[H]/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)/C3=CC=CC=C3,N#C/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)\C3=CC=CC=C3,-5.493707527,-1.25798256,-6.356037878,-1.896362187,0.862330351,0.638379628,457,518,61,0.58348327,7.02474,0.716337981,5.0946,-0.179509,-0.090023,-4.884691203,-2.449651862,-5.390849662,-1.986159794,1
N#C/C(C1=CC=C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C=C1)=C(C5=CC=CC=C5)/C6=CC=CC=C6,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,N#C/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)\C3=CC=CC=C3,-4.956011553,-0.323543498,-6.356037878,-1.896362187,1.400026324,1.572818689,478,556,78,0.340743959,9.035934,0.567809593,6.809132,-0.175741,-0.086268,-4.782158647,-2.347473055,-4.982406608,-1.918947646,1
C1(S2)=CC=CC=C1N=C2C3=CC=C(C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)\C8=CC=CC=C8)C=C5)C9=NSN=C94)C=C3,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,C12=CC=CC=C1N=C(C3=CC=C(C=C3)C4=CC=CC5=NSN=C54)S2,-5.328263451,-1.217982085,-5.883648043,-2.521680067,0.555384592,1.303697982,519,552,39,0.452417041,6.243178,0.629268644,4.978996,-0.170102,-0.097166,-4.628713563,-2.644022892,-5.307529147,-2.525000229,1
C12=CC=CC=C1N=C(C3=C(C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)\C8=CC=CC=C8)C=C5)C9=NSN=C94)C=CC=C3)S2,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,C12=CC=CC=C1N=C(S2)C3=C(C=CC=C3)C4=CC=CC5=NSN=C54,-5.328263451,-1.217982085,-6.070046106,-2.423446928,0.741782655,1.205464843,518,537,19,0.405570643,6.495098,0.584828079,5.375071,-0.171425,-0.097631,-4.664714245,-2.656676193,-5.305869252,-2.433052908,1
C1(N=CC(C2=CC=C(C=C2)N(C3=CC=CC=C3)C4=CC=CC=C4)=CC1=N5)=NC(C6=CC=CC=C6)=C5C7=CC=CC=C7,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,C12=NC(C3=CC=CC=C3)=C(C4=CC=CC=C4)N=C1C=CC=N2,-4.956011553,-0.323543498,-6.188959906,-2.188884694,1.232948353,1.865341196,542,552,10,0.362564346,7.572012,0.487382378,6.628896,-0.182972,-0.075981,-4.978924281,-2.067549383,-5.10096741,-2.130815888,0
C1=CC=C2C(=C1)C1=CC(N3C4=CC=CC=C4C(C)(C)C4=CC=CC=C34)=CC=C1S2(=O)=O,CC1(C)C2=CC=CC=C2NC3=CC=CC=C13,O=S1(C2=CC=CC=C2C3=CC=CC=C31)=O,-4.891792659,-0.080273618,-6.673050641,-1.823979874,1.781257982,1.743706256,495,530,35,0.579022989,3.504999,0.57535347,3.730485,-0.200881,-0.054467,-5.466253243,-1.482123324,-5.611534083,-1.570913891,0
