Combined_SMILES
c1ccc(-c2ccc(-c3ccc(-c4ccc5oc6ccccc6c5c4)cc3)cc2)nc1
c1cncc(-c2ccc(-c3ccc(-c4ccc5oc6ccccc6c5c4)cc3)cc2)c1
c1ccc2nc(-c3ccc(-c4ccc5oc6ccccc6c5c4)cc3)cnc2c1
c1ccc2c(c1)oc1ccc(-c3ccc(-c4ccc5sccc5c4)cc3)cc12
Cc1nc2ccccc2nc1-c1ccc(-c2ccc3oc4ccccc4c3c2)cc1
c1ccc2cc3c(-c4ccc(-c5ccc6oc7ccccc7c6c5)cc4)cccc3cc2c1
c1ccc2c(c1)oc1ccc(-c3ccc(-c4ccc(-c5cnccn5)cc4)cc3)cc12
c1ccc(-c2cc(-c3ccc(-c4ccc5oc6ccccc6c5c4)cc3)ccn2)nc1
c1ccc2c(c1)oc1ccc(-c3ccc(-c4ccc5cncnc5c4)cc3)cc12
c1ccc2c(c1)oc1ccc(-c3ccc(-c4c[nH]c5ccncc45)cc3)cc12
O=C(c1ccc(-c2ccc(N3c4ccccc4CCc4ccccc43)cc2)cc1)C(F)(F)F
c1ccc2c(c1)oc1ccc(-c3ccc(-c4ccc5[nH]c6ncccc6c5c4)cc3)cc12
c1cnc2c(c1)ccc1cc(-c3ccc(-c4ccc5oc6ccccc6c5c4)cc3)cnc12
N#Cc1ccc(-c2ccc(N3c4ccccc4CCc4ccccc43)cc2)cc1C#N
N#Cc1cc(C#N)cc(-c2ccc(N3c4ccccc4CCc4ccccc43)cc2)c1
c1ccc(-c2cc(-c3ccc(-c4ccc5oc6ccccc6c5c4)cc3)nc3ncnn23)cc1
c1ccc(-c2cc(-c3ccc(-c4ccc5oc6ccccc6c5c4)cc3)n3ncnc3n2)cc1
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc5c(c4)C(=O)c4ccccc4-5)cc3)ccc21
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc(C(=O)C(F)(F)F)cc4)cc3)ccc21
c1ccc2c(c1)oc1ccc(-c3ccc(-c4cnc5sc6ncccc6c5c4)cc3)cc12
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc5c(c4)C(=O)NC5=O)cc3)ccc21
O=C(c1ccc(-c2ccc(-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)s3)cc2)cc1)C(F)(F)F
O=C1c2ccccc2-c2ccc(-c3ccc(-c4ccc(C(=C(c5ccccc5)c5ccccc5)c5ccccc5)s4)cc3)cc21
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc(C#N)c(C#N)c4)cc3)ccc21
N#Cc1c(-c2ccccc2)cc(-c2ccccc2)c(C#N)c1-c1ccc(N2c3ccccc3CCc3ccccc32)cc1
CCCCN1c2ccccc2Sc2cc(-c3ccc(-c4cc(C#N)cc(C#N)c4)cc3)ccc21
